folder,doi,title,journal,year,url,downloaded,pdf_path,figures_count,note_path,license
10.1038_s43856-025-01239-1,10.1038/s43856-025-01239-1,A comprehensive study of cognitive control in healthy aging,Communications Medicine,2025,https://doi.org/10.1038/s43856-025-01239-1,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s41467-025-64275-4,10.1038/s41467-025-64275-4,A wearable-based aging clock associates with disease and behavior,Nature Communications,2025,https://doi.org/10.1038/s41467-025-64275-4,2025-12-04,,0,note.md,Open Access
10.1038_s41467-025-63429-8,10.1038/s41467-025-63429-8,Aging in mice alters regionally enriched striatal astrocytes,Nature Communications,2025,https://doi.org/10.1038/s41467-025-63429-8,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s43587-025-00986-z,10.1038/s43587-025-00986-z,Aging represses oncogenic KRAS-driven lung tumorigenesis and alters tumor suppression,Nature Aging,2025,https://doi.org/10.1038/s43587-025-00986-z,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s43587-025-01022-w,10.1038/s43587-025-01022-w,Anti-uPAR CAR T cells reverse and prevent aging-associated defects in intestinal regeneration and fitness,Nature Aging,2025,https://doi.org/10.1038/s43587-025-01022-w,2025-12-03,paper.pdf,5,note.md,CC-BY-4.0
10.18632_aging.206190,10.18632/aging.206190,Deep learning and generative artificial intelligence in aging research and healthy longevity medicine,Aging,2025,https://www.aging-us.com/lookup/doi/10.18632/aging.206190,2025-12-09,paper.pdf,0,note.md,
10.1038_s43587-025-00961-8,10.1038/s43587-025-00961-8,Elastin-derived extracellular matrix fragments drive aging through innate immune activation,Nature Aging,2025,https://doi.org/10.1038/s43587-025-00961-8,2025-12-03,,20,note.md,CC-BY-NC-ND-4.0
10.1038_s41467-025-64652-z,10.1038/s41467-025-64652-z,Elevating cytosolic NADPH metabolism in endothelial cells ameliorates vascular aging,Nature Communications,2025,https://doi.org/10.1038/s41467-025-64652-z,2025-12-03,,20,note.md,CC-BY-NC-ND-4.0
10.1038_s41467-025-65664-5,10.1038/s41467-025-65664-5,"Epigenetic age acceleration, telomere length, and neurocognitive function in long-term survivors of childhood cancer",Nature Communications,2025,https://doi.org/10.1038/s41467-025-65664-5,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s41467-025-65297-8,10.1038/s41467-025-65297-8,Fibroblast growth factor signaling induces a chondrocyte-like state of peripheral nerve fibroblast during aging,Nature Communications,2025,https://doi.org/10.1038/s41467-025-65297-8,2025-12-03,,20,note.md,CC-BY-4.0
